country,life_expect,life_exp60,adult_mortality,infant_mort,age1-4mort,alcohol,bmi,basic_water,pop_mils,development_index,gdp_per_capita,eco_footprint,biocapacity,deficit_or_reserve,pf_rol,pf_ss,pf_movement,pf_religion,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,happiness_score
Angola,62.63262,17.34829,237.9694,0.0579,0.00752,5.38006,23.3,55.08428000000001,20.82,0.52,4665.91,0.93,2.55,1.61,3.451813885,8.297864524,5.0,8.786666667,6.452380952,7.5,6.111324364,6.496684826,2.963635116,5.606605364,5.264754044,5.518500441,5.17,5.640662182,3.866
Burundi,60.09811,16.591260000000002,290.1858,0.05242,0.00645,3.88586,21.7,60.20415,9.85,0.39,276.69,0.8,0.32,-0.48,2.961469859,6.826708059,1.666666667,7.468518519,3.202380952,5.833333333,4.414134427,6.115441176,3.495487069,7.585470702,6.110770149,6.271879255,5.92,5.167067213,2.905
Benin,61.08568,17.20543,242.3741,0.06669,0.00939,1.46034,23.5,66.32024,10.05,0.48,746.83,1.41,0.88,-0.53,4.129479992,8.031187091,6.666666667,9.413333333,8.988095238,10.0,7.496976295,6.182574541,3.822761377,7.013885064,6.02654585,6.85592866,5.98,6.738488147,3.484
Burkina Faso,60.32101,15.48575,254.6027,0.055795,0.0086349999999999,7.10585,22.2,48.26772,16.46,0.39,671.07,1.21,0.98,-0.22,4.860574888,8.324656807,8.333333333,8.018888889,7.738095238,10.0,7.45533967,5.405461604,3.68765653,7.121433785,6.604145213,7.427553566,6.05,6.752669835,3.739
Botswana,66.05297,17.42258,249.2413,0.03256,0.0020399999999999,5.14197,24.3,89.40444000000001,2.0,0.69,7743.5,3.83,3.47,-0.35,5.641683932,7.161570546,8.333333333,9.008333333,7.8125,4.25,6.876334453,6.702037586,5.950516249,9.056783223,7.679525354,7.769776873,7.43,7.153167226,3.974
Tanzania,63.909130000000005,17.53598,260.6826,0.0414,0.00431,7.40868,23.2,54.84754,47.78,0.51,765.33,1.32,1.08,-0.24,4.244131053,7.349099273,8.333333333,6.447777778,7.5,5.0,6.126418693,7.314762736,5.659837689,8.221423469,6.2063089,7.208976699,6.92,6.523209346,3.666
Uganda,62.49541,17.124679999999998,287.9427,0.0396899999999999,0.004115,12.10029,22.5,47.66563,36.35,0.48,601.35,1.24,0.59,-0.66,3.363040892,7.002780033,8.333333333,8.398148148,7.892857143,3.75,6.128889094,8.2875,4.730399908,8.647257101,7.453716468,7.952857152,7.41,6.769444547,3.739
South Africa,63.59951,16.57789,301.3036,0.03459,0.002345,7.303269999999999,27.3,92.27031,52.39,0.66,8089.87,3.31,1.15,-2.16,5.728137568,6.0446062,10.0,9.364814815,8.904761905,9.25,7.695143614,6.04383421,5.185801311,8.08193844,6.777461423,7.1682772,6.65,7.172571807,4.459
Zambia,62.32869,17.51484,286.3146,0.045515,0.00522,3.85421,22.6,59.23856,14.08,0.58,1740.64,0.99,2.23,1.24,4.115583727,8.282496424,5.0,7.332777778,6.765986103,4.166666667,6.007698856,6.064705882,5.333995633,8.262900908,6.97224652,6.412301094,6.61,6.308849428,4.795
Zimbabwe,61.44675,17.47945,333.9667,0.040825,0.00427,3.45813,23.8,64.51162,13.72,0.49,865.91,1.37,0.62,-0.75,3.507598954,7.610858901,5.0,6.427777778,6.65,3.333333333,5.170725575,6.146323529,3.750569595,8.298249478,5.56135516,6.547778391,6.06,5.615362787,4.193
Chad,54.25685,15.91514,359.7015,0.0808099999999999,0.014615,0.50193,21.9,38.85259,12.45,0.39,1161.22,1.46,2.03,0.57,2.900352865,6.264732049,8.333333333,8.158888889,7.523809524,1.666666667,5.50954107,7.729564033,2.663232022,6.726054551,5.121255567,4.953382356,5.44,5.474770535,3.763
